+----------------------+-------------------------------------------------+-----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                   |
| of the Block class in question. The actual final values may be different                         |
| for different states of the block, or they may depend on a TileEntity etc.                       |
+----------------------+-------------------------------------------------+-----------+-------------+
| Mod name             | Registry name                                   |  Hardness |  Resistance |
+----------------------+-------------------------------------------------+-----------+-------------+
| Botania              | botania:alchemycatalyst                         |      2.00 |       30.00 |
| Botania              | botania:alfheimportal                           |     10.00 |       50.00 |
| Botania              | botania:altar                                   |      3.50 |       17.50 |
| Botania              | botania:altgrass                                |      0.60 |        3.00 |
| Botania              | botania:animatedtorch                           |      0.00 |        0.00 |
| Botania              | botania:avatar                                  |      2.00 |       10.00 |
| Botania              | botania:bellows                                 |      2.00 |       10.00 |
| Botania              | botania:bifrost                                 |     -1.00 |        0.00 |
| Botania              | botania:bifrostperm                             |      0.30 |        1.50 |
| Botania              | botania:bifrostpermpane                         |      0.30 |        1.50 |
| Botania              | botania:biomestonea                             |      1.50 |       30.00 |
| Botania              | botania:biomestonea0slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea0slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea0stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea0wall                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea10slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea10slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea10stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea11slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea11slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea11stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea12slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea12slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea12stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea13slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea13slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea13stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea14slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea14slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea14stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea15slab                       |      1.50 |       30.00 |
| Botania              | botania:biomestonea15slabfull                   |      1.50 |       30.00 |
| Botania              | botania:biomestonea15stairs                     |      1.50 |       30.00 |
| Botania              | botania:biomestonea1slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea1slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea1stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea2slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea2slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea2stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea3slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea3slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea3stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea4slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea4slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea4stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea5slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea5slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea5stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea6slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea6slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea6stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea7slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea7slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea7stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea8slab                        |      1.50 |       30.00 |
